TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,1080,svchost.exe,0x7ffa16a40000,0x65000,wevtapi.dll,C:\\Windows\\SYSTEM32\\wevtapi.dll,6,2026-02-17 16:28:54.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa16f60000,0x36000,XmlLite.dll,c:\\windows\\system32\\XmlLite.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c550000,0x5b000,shlwapi.dll,C:\\Windows\\System32\\shlwapi.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1d250000,0x770000,SHELL32.dll,C:\\Windows\\System32\\SHELL32.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c880000,0xad000,SHCORE.DLL,C:\\Windows\\System32\\SHCORE.DLL,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa19c30000,0x7a5000,windows.storage.dll,C:\\Windows\\SYSTEM32\\windows.storage.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa17350000,0xf4000,PROPSYS.dll,C:\\Windows\\SYSTEM32\\PROPSYS.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c6b0000,0xa9000,clbcatq.dll,C:\\Windows\\System32\\clbcatq.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa17280000,0x16000,usermgrcli.dll,C:\\Windows\\SYSTEM32\\usermgrcli.dll,6,2026-02-17 16:28:59.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa19190000,0x94000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,-1,2026-02-17 16:29:04.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1b480000,0xc000,CRYPTBASE.DLL,C:\\Windows\\system32\\CRYPTBASE.DLL,6,2026-02-17 17:26:59.000000 UTC,Disabled
0,1104,svchost.exe,0x7ff7e16f0000,0x11000,svchost.exe,C:\\Windows\\system32\\svchost.exe,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1e190000,0xc2000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1bbc0000,0x2f6000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1cd80000,0x9f000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1d130000,0x120000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1c0f0000,0x27000,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1104,svchost.exe,0x7ffa1bf40000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
