TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
3,5452,780,TextInputHost.,0xdb84c7d04080,8,-,1,False,2026-02-17 16:29:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe,"""C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe"" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca",C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe
3,7724,780,RuntimeBroker.,0xdb84c77f4080,1,-,1,False,2026-02-17 16:29:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,7980,780,ApplicationFra,0xdb84c76cd080,3,-,1,False,2026-02-17 16:30:03.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\ApplicationFrameHost.exe,C:\\Windows\\system32\\ApplicationFrameHost.exe -Embedding,C:\\Windows\\system32\\ApplicationFrameHost.exe
3,4680,780,WmiPrvSE.exe,0xdb84c96d7080,10,-,0,False,2026-02-18 00:55:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wbem\\WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
3,6064,780,UserOOBEBroker,0xdb84c76ce080,4,-,1,False,2026-02-17 16:30:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\oobe\\UserOOBEBroker.exe,C:\\Windows\\System32\\oobe\\UserOOBEBroker.exe -Embedding,C:\\Windows\\System32\\oobe\\UserOOBEBroker.exe
3,5332,780,RuntimeBroker.,0xdb84c738f080,1,-,1,False,2026-02-17 16:29:10.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,5652,780,SearchApp.exe,0xdb84c6eb2340,45,-,1,False,2026-02-17 16:29:11.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\Microsoft.Windows.Search_cw5n1h2txyewy\\SearchApp.exe,-,-
3,1460,780,dllhost.exe,0xdb84c8108080,5,-,1,False,2026-02-17 16:30:23.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},C:\\Windows\\system32\\DllHost.exe
3,7860,780,ShellExperienc,0xdb84c76cc080,14,-,1,False,2026-02-17 16:33:00.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe,-,-
3,3736,780,dllhost.exe,0xdb84c68d0300,5,-,0,False,2026-02-17 16:28:59.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683},C:\\Windows\\system32\\DllHost.exe
3,5076,780,SettingSyncHos,0xdb84c808a080,3,-,1,False,2026-02-17 18:14:10.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SettingSyncHost.exe,-,-
3,10236,780,SystemSettings,0xdb84cb9b8080,19,-,1,False,2026-02-17 18:32:00.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\ImmersiveControlPanel\\SystemSettings.exe,-,-
2,9484,660,svchost.exe,0xdb84cb80b080,3,-,0,False,2026-02-17 18:11:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k WbioSvcGroup -s WbioSrvc,C:\\Windows\\system32\\svchost.exe
2,1320,660,svchost.exe,0xdb84c2e152c0,6,-,0,False,2026-02-17 15:28:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi,C:\\Windows\\system32\\svchost.exe
2,9512,660,svchost.exe,0xdb84cb51a080,2,-,0,False,2026-02-17 18:11:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s BthAvctpSvc,C:\\Windows\\system32\\svchost.exe
2,3884,660,svchost.exe,0xdb84c7d5b240,1,-,0,False,2026-02-17 16:29:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Appinfo,C:\\Windows\\system32\\svchost.exe
